vehiculo,nombre,posicion,stock_estado,ubicacion,precio,ultimo_precio,venta,nota,observaciones
116I 2006,Bandeja,Delantera Superior Derecha,VENDIDO,SANTIAGO,50000.0,45000.0,,GRANDE,
116I 2006,Bandeja Grande,Trasera Izquierda,VENDIDO,SANTIAGO,,,,HAWAIANA,
116I 2006,Bandeja Grande,Trasera Derecha,VENDIDO,SANTIAGO,,,,HAWAIANA,
116I 2006,Bandeja Horquilla,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Bandeja Horquilla,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Bandeja Mediana,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Bandeja Mediana,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Bandeja Pequeña,Trasera Izquierda,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Bandeja Pequeña,Trasera Derecha,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Barra Estabilizadora,,DISPONIBLE,SANTIAGO,30000.0,25000.0,,,
116I 2006,Base De Batería,,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Base De De Compresor De Aire Acodicionado,,DISPONIBLE,SANTIAGO,35000.0,30000.0,,,
116I 2006,Base De Termostato,,POR CONFIRMAR,REQUINOA,,,,,Estado inusual: POR CONFIRMAR
116I 2006,Bieleta,Izquierda,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Bieleta,Derecha,DISPONIBLE,SANTIAGO,15000.0,10000.0,,,
116I 2006,Bisagra Capot,Izquierda,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Bisagra Capot,Derecha,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Bisagra,Izquierda Portalon,DISPONIBLE,SANTIAGO,,,,,
116I 2006,Bisel De Sinóptico,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,
116I 2006,Bisel Tablero,,DISPONIBLE,SANTIAGO,20000.0,15000.0,,,
116I 2006,Block,,DISPONIBLE,SANTIAGO,100000.0,80000.0,,SOLO,
116I 2006,Bobina,,VENDIDO,SANTIAGO,25000.0,20000.0,,,
116I 2006,Bobina,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Bobina,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
116I 2006,Bobina,,DISPONIBLE,SANTIAGO,25000.0,20000.0,,,
