vehiculo,nombre_original,nombre,posicion,stock,ubicacion,precio,ultimo_precio,venta,nota,observaciones,fecha_ingesta_estimada,hash_contenido,calidad_datos,requiere_revision
SM3 2011,CREMALLERA DE ALZAVIDRIO PUERTA TRASERA RH,Cremallera DE Alzavidrio Puerta,Derecha Trasera,DISPONIBLE,REVISADO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición RH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,cd6e9e0e7e169a3539afe69e33fd36922b0369212d2721bc9d14e2a28b1c9f59,65,SI
SM3 2011,CREMALLERA DE ALZAVIDRIOS DELANTERA LH,Cremallera DE Alzavidrios,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición LH detectada; Posición DELANTERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,47cf8ea461247449f42a2f43ebbb5c2865987787bbc0daede9d7697769757194,65,SI
SM3 2011,CREMALLERA DE ALZAVIDRIOS TRASERA LH,Cremallera DE Alzavidrios,Izquierda Trasera,DISPONIBLE,REVISADO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Posición LH detectada; Posición TRASERA detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,0f2882c98e31be0a7c4174c2fa64cd01fe16b9729c26b3d2a20996d1be71c177,65,SI
SM3 2011,CREMALLERA DE DIRECCIÓN,Cremallera DE Dirección,,DISPONIBLE,REVISADO,0,0,,,CREMALLERA mal escrito (debería ser CREMALLERA); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,e77a244425737fd5cf2e0fcf01292621c4031b41522e8979597b5a69cef5e384,65,SI
SM3 2011,CUERPO DE ACELERACIÓN,Cuerpo DE Aceleración,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,c4bd4829ba8967500ac0e2c05e11eda9f73d13ba921fe35775785c7192c271ad,75,NO
SM3 2011,CUNA,CUNA,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,f612a4ef26bf02ed73c961d73d95a2442451336e0026c974242d54102881fbf2,75,NO
SM3 2011,DEPÓSITO DE AGUA AUXILIAR RADIADOR,Depósito DE AGUA Auxiliar Radiador,,DISPONIBLE,REVISADO,0,0,,,RADIADOR mal escrito (debería ser RADIADOR); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,6ebe9e2dea5b9b7749267fdfb5345ad4f08872761acbf3a25f95b8a109201ca6,65,SI
SM3 2011,DEPÓSITO LIMPIAPARABRISAS SIN TUBO,Depósito Limpiaparabrisass SIN TUBO,,DISPONIBLE,REVISADO,0,0,,,LIMPIAPARABRISA mal escrito (debería ser LIMPIAPARABRISAS); TUBO mal escrito (debería ser TUBO); Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,2bdf0873b44d379bbad6ac639a8c40ed1b9a2e3d79b6c8d2bdfbd79bf843211c,65,SI
SM3 2011,DEPÓSITO LÍQUIDO HIDRÁULICO CON BASE,Depósito Líquido Hidráulico CON BASE,,DISPONIBLE,REVISADO,0,0,,,Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,7317b2160291bd842faa7cc86db429110ddb5c3b551f3fef9f1b78ed6f0d8d04,75,NO
SM3 2011,DISCO DE FRENO DELANTERO LH,Disco DE Freno,Izquierda Delantera,DISPONIBLE,REVISADO,0,0,,,FRENO mal escrito (debería ser FRENO); DISCO mal escrito (debería ser DISCO); Posición LH detectada; Posición DELANTERO detectada; Precio es 0 - probablemente sin precio; Último precio es 0 - probablemente sin precio,2025-10-20 02:14:41,1293f8c2b5a574bb23b749c9cae9ac58527a12f5703c497b5f7469a47340a733,65,SI
